Num,Date,Amps ac2,Kilowatts1,ACFM1
216,2023-04-26 21:00:00,137.0691,75.97,0
217,2023-04-26 22:00:00,136.2726,75.53,0
218,2023-04-26 23:00:00,137.7097,76.33,0
219,2023-04-27 00:00:00,138.5805,76.81,0
220,2023-04-27 01:00:00,139.7783,77.47,0
221,2023-04-27 02:00:00,140.6626,77.96,0
222,2023-04-27 03:00:00,139.8574,77.52,0
223,2023-04-27 04:00:00,133.7486,74.13,0
224,2023-04-27 05:00:00,133.795,74.16,0
225,2023-04-27 06:00:00,131.0479,72.63,0
226,2023-04-27 07:00:00,130.9113,72.56,0
227,2023-04-27 08:00:00,133.4974,73.99,0
228,2023-04-27 09:00:00,133.4351,73.96,0
229,2023-04-27 10:00:00,133.6822,74.09,0
230,2023-04-27 11:00:00,135.8966,75.32,0
231,2023-04-27 12:00:00,103.9276,57.6,0
232,2023-04-27 13:00:00,2.9342,1.22,0
233,2023-04-27 14:00:00,0.9635,0.4,0
234,2023-04-27 15:00:00,0.9572,0.4,0
235,2023-04-27 16:00:00,0.9554,0.4,0
236,2023-04-27 17:00:00,0.9443,0.39,0
237,2023-04-27 18:00:00,0.9417,0.39,0
238,2023-04-27 19:00:00,0.9309,0.39,0
239,2023-04-27 20:00:00,0.924,0.38,0
240,2023-04-27 21:00:00,0.9273,0.39,0
241,2023-04-27 22:00:00,0.9363,0.39,0
242,2023-04-27 23:00:00,0.9359,0.39,0
243,2023-04-28 00:00:00,0.9345,0.39,0
244,2023-04-28 01:00:00,0.9329,0.39,0
245,2023-04-28 02:00:00,0.9297,0.39,0
246,2023-04-28 03:00:00,0.9304,0.39,0
247,2023-04-28 04:00:00,0.9338,0.39,0
248,2023-04-28 05:00:00,0.9283,0.39,0
249,2023-04-28 06:00:00,0.9295,0.39,0
250,2023-04-28 07:00:00,0.9293,0.39,0
251,2023-04-28 08:00:00,0.9295,0.39,0
252,2023-04-28 09:00:00,0.9269,0.39,0
253,2023-04-28 10:00:00,0.9339,0.39,0
254,2023-04-28 11:00:00,0.9422,0.39,0
255,2023-04-28 12:00:00,0.9446,0.39,0
256,2023-04-28 13:00:00,0.9448,0.39,0
257,2023-04-28 14:00:00,0.9413,0.39,0
258,2023-04-28 15:00:00,0.9372,0.39,0
259,2023-04-28 16:00:00,0.9362,0.39,0
260,2023-04-28 17:00:00,0.9386,0.39,0
261,2023-04-28 18:00:00,0.9387,0.39,0
262,2023-04-28 19:00:00,0.9424,0.39,0
263,2023-04-28 20:00:00,0.95,0.39,0
264,2023-04-28 21:00:00,0.9441,0.39,0
265,2023-04-28 22:00:00,0.9381,0.39,0
266,2023-04-28 23:00:00,0.932,0.39,0
267,2023-04-29 00:00:00,0.9326,0.39,0
268,2023-04-29 01:00:00,0.9289,0.39,0
269,2023-04-29 02:00:00,0.9252,0.38,0
270,2023-04-29 03:00:00,0.925,0.38,0
271,2023-04-29 04:00:00,0.9199,0.38,0
272,2023-04-29 05:00:00,0.9157,0.38,0
273,2023-04-29 06:00:00,0.9219,0.38,0
274,2023-04-29 07:00:00,0.9225,0.38,0
275,2023-04-29 08:00:00,0.9216,0.38,0
276,2023-04-29 09:00:00,0.9235,0.38,0
277,2023-04-29 10:00:00,0.925,0.38,0
278,2023-04-29 11:00:00,0.9258,0.38,0
279,2023-04-29 12:00:00,0.9317,0.39,0
280,2023-04-29 13:00:00,0.9329,0.39,0
281,2023-04-29 14:00:00,0.9362,0.39,0
282,2023-04-29 15:00:00,0.9439,0.39,0
283,2023-04-29 16:00:00,0.9541,0.4,0
284,2023-04-29 17:00:00,0.9478,0.39,0
285,2023-04-29 18:00:00,0.9531,0.4,0
286,2023-04-29 19:00:00,0.9483,0.39,0
287,2023-04-29 20:00:00,0.9445,0.39,0
288,2023-04-29 21:00:00,0.9432,0.39,0
289,2023-04-29 22:00:00,0.9382,0.39,0
290,2023-04-29 23:00:00,0.9311,0.39,0
291,2023-04-30 00:00:00,0.9274,0.39,0
292,2023-04-30 01:00:00,0.9262,0.39,0
293,2023-04-30 02:00:00,0.925,0.38,0
294,2023-04-30 03:00:00,0.922,0.38,0
295,2023-04-30 04:00:00,0.9171,0.38,0
296,2023-04-30 05:00:00,0.9168,0.38,0
297,2023-04-30 06:00:00,0.9129,0.38,0
298,2023-04-30 07:00:00,0.9091,0.38,0
299,2023-04-30 08:00:00,0.9083,0.38,0
300,2023-04-30 09:00:00,0.9095,0.38,0
301,2023-04-30 10:00:00,0.9097,0.38,0
302,2023-04-30 11:00:00,0.9165,0.38,0
303,2023-04-30 12:00:00,0.9201,0.38,0
304,2023-04-30 13:00:00,0.922,0.38,0
305,2023-04-30 14:00:00,0.9238,0.38,0
306,2023-04-30 15:00:00,0.9199,0.38,0
307,2023-04-30 16:00:00,0.9189,0.38,0
308,2023-04-30 17:00:00,0.9228,0.38,0
309,2023-04-30 18:00:00,0.9212,0.38,0
310,2023-04-30 19:00:00,0.922,0.38,0
311,2023-04-30 20:00:00,0.9207,0.38,0
312,2023-04-30 21:00:00,0.9193,0.38,0
313,2023-04-30 22:00:00,0.919,0.38,0
314,2023-04-30 23:00:00,0.9146,0.38,0
315,2023-05-01 00:00:00,0.9194,0.38,0
316,2023-05-01 01:00:00,0.917,0.38,0
317,2023-05-01 02:00:00,0.9126,0.38,0
318,2023-05-01 03:00:00,0.9092,0.38,0
319,2023-05-01 04:00:00,0.9071,0.38,0
320,2023-05-01 05:00:00,0.904,0.38,0
321,2023-05-01 06:00:00,0.9025,0.38,0
322,2023-05-01 07:00:00,0.9085,0.38,0
323,2023-05-01 08:00:00,0.9145,0.38,0
324,2023-05-01 09:00:00,0.9144,0.38,0
325,2023-05-01 10:00:00,0.9215,0.38,0
326,2023-05-01 11:00:00,0.9267,0.39,0
